round	value	daily_double	category	comments	answer	question	air_date	notes
1	100	no	JULY 4, 1994	(Alex: Think back to that date.)	The U.S. Coast Guard intercepted over 3,000 refugees on boats from this country	Haiti	1994-09-05	-
1	200	no	JULY 4, 1994	(Alex: Think back to that date.)	His return to Gaza after a 27-year exile made headlines	Yasser Arafat	1994-09-05	-
1	300	no	JULY 4, 1994	(Alex: Think back to that date.)	The French declared a safe zone in this country after rebels took its capital of Kigali	Rwanda	1994-09-05	-
1	400	no	JULY 4, 1994	(Alex: Think back to that date.)	The U.S. opened its new embassy in this Bosnian capital during a cease-fire	Sarajevo	1994-09-05	-
1	500	no	JULY 4, 1994	(Alex: Think back to that date.)	The 1994 Philadelphia Liberty Medal was awarded to this Czech president	Vaclav Havel	1994-09-05	-
1	100	no	DOLLS	-	Mattel has made more than 1 billion pairs of shoes for this doll	Barbie	1994-09-05	-
1	200	no	DOLLS	-	The Jessica dolls sold by this Osmond on QVC are inspired by her own daughter Jessica	Marie Osmond	1994-09-05	-
1	300	no	DOLLS	-	Many ancient dolls were made from this substance, but most of them probably have melted by now	wax	1994-09-05	-
1	400	no	DOLLS	-	In the 19th century, china heads & limbs for dolls were made in Meissen in what is now this country	Germany	1994-09-05	-
1	600	yes	DOLLS	-	These Hopi dolls that personify spirits are often carved from cottonwood	kachinas	1994-09-05	-
1	100	no	MUSEUMS	-	This poet's birthplace & museum lie near the Brig O'Doon featured in his poem "Tam O'Shanter\"	Robert Burns	1994-09-05	-
1	200	no	MUSEUMS	-	You'll find the more than 20-ton Aztec "sun stone" in the Museo Nacional de Antropologia in this capital city	Mexico City	1994-09-05	-
1	300	no	MUSEUMS	-	The Tate Gallery is housed in a neoclassical building that overlooks this river	the Thames	1994-09-05	-
1	400	no	MUSEUMS	-	Every year this Fifth Avenue art museum decorates a Christmas tree with beautiful Baroque angels	the Metropolitan Museum of Art	1994-09-05	-
1	500	no	MUSEUMS	-	This natural history museum's original name was the Columbian Museum of Chicago	the Field Museum	1994-09-05	-
1	100	no	FRUITS & NUTS	-	Grapefruits are classified as either white or this color	pink	1994-09-05	-
1	200	no	FRUITS & NUTS	-	\"Mary Ann's Gilligan's Island Cookbook" features 13 recipes for this kind of cream pie	coconut	1994-09-05	-
1	300	no	FRUITS & NUTS	-	The winesap is not a grape, but a type of this	an apple	1994-09-05	-
1	400	no	FRUITS & NUTS	-	Used in pralines & widely grown in the South, the paper shell varieties of this nut are the best	a pecan	1994-09-05	-
1	500	no	FRUITS & NUTS	-	Nuts from the black and English varieties of this tree are sometimes picked green for pickling	the walnut	1994-09-05	-
1	100	no	BUSINESS & INDUSTRY	-	This product introduced the slogan "It's the real thing" in 1942	Coca-Cola	1994-09-05	-
1	200	no	BUSINESS & INDUSTRY	-	In 1992 this international carrier bought Australian Airlines	Qantas	1994-09-05	-
1	300	no	BUSINESS & INDUSTRY	-	In the 1989 film "Roger & me", Roger was Roger Smith, the CEO of this auto corporation	General Motors	1994-09-05	-
1	400	no	BUSINESS & INDUSTRY	-	Akio Morita, who founded this electronics giant, was born into a sake-making family in 1921	Sony	1994-09-05	-
1	500	no	BUSINESS & INDUSTRY	-	Advanced Night Repair, a skin care product, is one of this cosmetics giant's best sellers	Estée Lauder	1994-09-05	-
1	100	no	PROVERBS	-	\"Actions speak louder than" these	words	1994-09-05	-
1	200	no	PROVERBS	-	The 2 things that "make Jack a dull boy\"	all work and no play	1994-09-05	-
1	300	no	PROVERBS	-	\"Home is where the heart is" & "a man's home is" this	his castle	1994-09-05	-
1	400	no	PROVERBS	-	According to a proverb, it's what you should do with "well enough\"	leave it alone.)	1994-09-05	-
1	500	no	PROVERBS	-	A choice for some anglers might be to "fish or" do this	cut bait	1994-09-05	-
2	200	no	MIDDLE EAST HISTORY	-	In 1990 Syria's troops joined the Allied forces in preparing to attack this invader of Kuwait	Iraq	1994-09-05	-
2	400	no	MIDDLE EAST HISTORY	-	The ancient Phoenicians' homeland is now part of this country known for its cedars	Lebanon	1994-09-05	-
2	600	no	MIDDLE EAST HISTORY	-	It was built with the help of the French between 1859 & 1869	Suez Canal	1994-09-05	-
2	800	no	MIDDLE EAST HISTORY	-	In a 1948-49 war, this country increased its territory by about 50%	Israel	1994-09-05	-
